"","trarNo","mainTrarNm","ctprvnCd","ctprvnNm","signguCd","signguNm","trarArea","coordNum","coords","stdrDt"
"1","10186","가오동","30","대전광역시","30110","동구","123254","52","MULTIPOLYGON (((127.454551087205 36.306275123415, 127.454905409844 36.3059358399351, 127.454693061524 36.305796963371, 127.454349333439 36.3055617081019, 127.454159267356 36.3054249990883, 127.453558533849 36.3050285032906, 127.453414382701 36.3051304303883, 127.453229977035 36.305009469014, 127.453686751311 36.3045774315624, 127.454090858118 36.304183891657, 127.454785568954 36.3035053790207, 127.455372371526 36.3029399188033, 127.455776500647 36.3025531318667, 127.456279470018 36.302891412412, 127.45680211036 36.3032611569596, 127.456913941175 36.3033463424376, 127.456908557933 36.303377904023, 127.456747936848 36.3035181977686, 127.45657920082 36.3036990750022, 127.456419376801 36.3039767942319, 127.456323019386 36.3041596485475, 127.456312448579 36.3042565649193, 127.456297213805 36.3045089514557, 127.456281874273 36.3047433149103, 127.456224417576 36.3049147564479, 127.456125092075 36.3050660808041, 127.456017298325 36.3051971608757, 127.455912065369 36.3052899312463, 127.456065936851 36.3054245221846, 127.456848511903 36.3059757651006, 127.457189426487 36.3062042650642, 127.457812835745 36.3061883691884, 127.457966764781 36.3063319691547, 127.458098059051 36.3064125732674, 127.458925325099 36.3069861610147, 127.458180582892 36.307676153125, 127.457493052073 36.3071989033959, 127.457227242494 36.3074409809197, 127.457135886049 36.3075269406329, 127.456663618997 36.3072088235452, 127.456458933829 36.3069527684892, 127.456301153557 36.307104315428, 127.456099294992 36.3073348824473, 127.455935946307 36.3074864500775, 127.455537372829 36.3078754691454, 127.455464962932 36.3078689853823, 127.455325370655 36.3077974216326, 127.454844719681 36.3074725703886, 127.454084736701 36.3069775522774, 127.453967375852 36.3068991439438, 127.453978184213 36.3068427797054, 127.454551087205 36.306275123415)))","2021-06-30"
"2","10187","대전복합터미널","30","대전광역시","30110","동구","170384","39","MULTIPOLYGON (((127.435788388962 36.3530749591864, 127.435780033649 36.3530749895592, 127.435729113352 36.3529332408588, 127.435685309731 36.3525684274425, 127.435642394863 36.3523635679059, 127.435601364549 36.3519964914263, 127.435569990764 36.3518636832751, 127.435579479743 36.3515662636476, 127.435636514524 36.3513047179279, 127.435702154285 36.351088199258, 127.435800625771 36.3507656740482, 127.43587494514 36.3506076995879, 127.435749306538 36.3505518333645, 127.435457113883 36.3500932997145, 127.435193436868 36.3497540664799, 127.435064402942 36.3495878188347, 127.435033268441 36.3494978150704, 127.435408274307 36.3488205780543, 127.435611951165 36.3488874257266, 127.436583058879 36.3492330956214, 127.437604430413 36.3496011032968, 127.438910397554 36.3500604302138, 127.439719688018 36.3503503438459, 127.440838792232 36.3507585177096, 127.440576999008 36.351255122007, 127.440457976069 36.3513862285951, 127.440005934912 36.3517303320828, 127.439501289059 36.3521309496576, 127.43883594761 36.3526830989028, 127.438356418498 36.353094884255, 127.438680926951 36.3533505297258, 127.43878166993 36.353435771866, 127.438793100264 36.3534875471155, 127.438061251313 36.354103017065, 127.437883907876 36.3542658749903, 127.437595459269 36.3544832082742, 127.437438937802 36.3543846512005, 127.436482128646 36.3536176412436, 127.435788388962 36.3530749591864)))","2021-06-30"
"3","10188","대전역","30","대전광역시","30110","동구","98539","43","MULTIPOLYGON (((127.428944745746 36.3331139732715, 127.429270852966 36.3326644741342, 127.429699139402 36.3320614090316, 127.429581851153 36.3319987473446, 127.429238426806 36.331826501854, 127.429440267168 36.3315666927119, 127.42975014018 36.3312051144324, 127.429788800105 36.3311463997997, 127.429649226243 36.3310815651113, 127.429001835023 36.3308225434887, 127.428995983252 36.3307707471196, 127.429401014295 36.3304989462929, 127.429680958923 36.3302658921116, 127.429725347334 36.3302364450084, 127.429951306946 36.3303144874795, 127.43053724464 36.3305376778208, 127.430922307117 36.3306872407408, 127.431424547495 36.3308791864817, 127.431837444145 36.3310263933632, 127.432328539196 36.3312161224916, 127.432356580991 36.3312520681998, 127.432376356678 36.3313038141876, 127.432373882546 36.3313601462525, 127.432264022625 36.3316353992656, 127.432090779037 36.3320302856351, 127.431964173812 36.3322988399108, 127.431760707987 36.3327681811699, 127.431554529659 36.3332510493664, 127.431097886686 36.3342665081704, 127.430581320032 36.3340047720029, 127.430498306123 36.3340996929113, 127.430230117834 36.3344476058773, 127.429726814747 36.3350824824793, 127.429698982417 36.3350848351449, 127.429101074558 36.3347152436883, 127.428665186586 36.3344396929618, 127.428634336274 36.3343992505943, 127.429016052904 36.3339337829584, 127.429228938491 36.3336559113266, 127.429436401651 36.3334050938294, 127.429252051818 36.3332998664038, 127.428950474572 36.3331432408086, 127.428944745746 36.3331139732715)))","2021-06-30"
"4","10189","대전중앙시장","30","대전광역시","30110","동구","119910","21","MULTIPOLYGON (((127.429874502656 36.3300173765459, 127.430792185497 36.3287929970937, 127.431561300949 36.3278980725604, 127.432324507991 36.3269445881876, 127.432683893368 36.3264791889449, 127.433060202998 36.3260542801799, 127.433501067862 36.3262284156283, 127.434739899633 36.3267060573045, 127.434868295703 36.3267641678609, 127.434918610399 36.3268000322225, 127.434935490132 36.3268315119817, 127.434930296176 36.3268991186361, 127.434340166086 36.3279285922972, 127.434114053219 36.3283259261975, 127.433766526908 36.3289219564403, 127.433253530686 36.329806958161, 127.432591560623 36.3309448228128, 127.4324915734 36.3309902419987, 127.432402425538 36.3309815517939, 127.431353392302 36.330597826704, 127.429874502656 36.3300173765459)))","2021-06-30"
"5","10177","관평동","30","대전광역시","30200","유성구","251956","13","MULTIPOLYGON (((127.387950182504 36.4217006646892, 127.389229290828 36.4233005784161, 127.394281359461 36.4212474455466, 127.394707430372 36.4217146450908, 127.395004250286 36.4230834270343, 127.393937252407 36.4237718193653, 127.393517155622 36.4244941258046, 127.39383318367 36.4252500599087, 127.388492258682 36.4275744572055, 127.387300517835 36.4256137914952, 127.389258762697 36.4247423352064, 127.387215690485 36.4219914107735, 127.387950182504 36.4217006646892)))","2021-06-30"
"6","10178","구즉동","30","대전광역시","30200","유성구","30522","41","MULTIPOLYGON (((127.386830735407 36.4337820446042, 127.38668040596 36.4338275876346, 127.385878671841 36.4340757372744, 127.386005399508 36.4343321586783, 127.386609627238 36.4347379839443, 127.386752262564 36.4348276392821, 127.387015922769 36.4345834757919, 127.387110726968 36.4345854224422, 127.387600351167 36.4349307847993, 127.387597775184 36.4349735980529, 127.387517278966 36.4350459509075, 127.3870316442 36.4355071101543, 127.386870727447 36.4356675850266, 127.386823397094 36.4356812551733, 127.386770390347 36.4356746676105, 127.386692057141 36.4356208510615, 127.386322730575 36.4353584541834, 127.386196823095 36.4352687444288, 127.385863823064 36.4355874747918, 127.38580806172 36.4355876543431, 127.385542318276 36.4354105313258, 127.385259825523 36.4352289557799, 127.385206586276 36.4351750575645, 127.385013512192 36.4350337459698, 127.384932182195 36.4349371329592, 127.384845165504 36.4348180092465, 127.384724094445 36.4345773386989, 127.384743444489 36.4345434832069, 127.384985615129 36.4344638542143, 127.385497846229 36.4343067579255, 127.385617520187 36.4342635679313, 127.385470911558 36.4339328646585, 127.385504178954 36.4338944584873, 127.385980227927 36.4337509938719, 127.386820901175 36.4334846947213, 127.387733955684 36.4331978794435, 127.387759036349 36.4331955453934, 127.387817650952 36.4332088730482, 127.38792465538 36.43342255134, 127.387899764522 36.4334631839597, 127.386830735407 36.4337820446042)))","2021-06-30"
"7","10179","노은2동_1","30","대전광역시","30200","유성구","102324","9","MULTIPOLYGON (((127.313041232953 36.3937673488219, 127.31126749214 36.3934024859539, 127.312291828687 36.3903178402938, 127.313719727614 36.3906205114919, 127.314672564983 36.3891941754503, 127.316053908381 36.3890103117137, 127.316044324083 36.3893978379931, 127.315125707632 36.3910133396455, 127.313041232953 36.3937673488219)))","2021-06-30"
"8","10180","노은2동_2","30","대전광역시","30200","유성구","99406","39","MULTIPOLYGON (((127.320551832689 36.3755169336046, 127.320558315726 36.3757399551478, 127.320555732254 36.37578952624, 127.320519606914 36.3758121519195, 127.319956862953 36.37581815961, 127.319240882315 36.37582231951, 127.318494274374 36.37583106225, 127.318212874816 36.375827302976, 127.318148688282 36.3758004381574, 127.318103912123 36.3757509926707, 127.318093929253 36.3746628596809, 127.318096030854 36.3738067450841, 127.318094158821 36.3733449017053, 127.318093684682 36.3725406108878, 127.318090287045 36.3723896743106, 127.318129096893 36.3723422601269, 127.318181918035 36.3723150850533, 127.318438186781 36.372307646526, 127.319424323854 36.3722937610094, 127.320134718865 36.3722941208214, 127.320533138082 36.3723043218342, 127.320535585781 36.3729035917346, 127.320538677715 36.3736605641541, 127.320545951949 36.3740773346385, 127.320682488187 36.3740837285819, 127.321108775495 36.3740938531707, 127.322432165988 36.3741128335716, 127.322435951662 36.3743561385648, 127.322431166723 36.3745476494628, 127.322431518499 36.3746332594041, 127.32244871536 36.3747503649301, 127.322454592701 36.3748246954297, 127.322474362614 36.3748899769207, 127.322028634112 36.3748956798198, 127.321159455012 36.3749047680866, 127.321152850482 36.3746524589382, 127.320757288015 36.3746625286509, 127.320545540371 36.3746585886535, 127.320551832689 36.3755169336046)))","2021-06-30"
"9","10181","온천1동_1","30","대전광역시","30200","유성구","50496","5","MULTIPOLYGON (((127.34044519438 36.3540368593208, 127.335292598795 36.3553490522404, 127.334915823654 36.3545165223232, 127.340023379382 36.3531053445285, 127.34044519438 36.3540368593208)))","2021-06-30"
"10","10182","온천1동_2","30","대전광역시","30200","유성구","155584","7","MULTIPOLYGON (((127.342548253401 36.3560044353029, 127.339864978805 36.3564040745272, 127.339210778497 36.3545495162886, 127.344240273523 36.3531383790795, 127.345782703472 36.3568062097252, 127.343099280657 36.3571743810585, 127.342548253401 36.3560044353029)))","2021-06-30"
