년도,월,본부구분,출동건수,이송건수,이송환자수
2020,1,중앙,0,0,0
2020,2,중앙,2,2,2
2020,3,중앙,2,1,1
2020,4,중앙,2,2,2
2020,5,중앙,5,3,3
2020,6,중앙,3,3,3
2020,7,중앙,5,5,5
2020,8,중앙,7,2,2
2020,9,중앙,6,6,6
2020,10,중앙,12,12,12
2020,11,중앙,7,7,7
2020,12,중앙,1,0,0
2020,1,서울,42165,27288,27466
2020,2,서울,35958,21610,21765
2020,3,서울,34796,19522,19640
2020,4,서울,35450,20337,20464
2020,5,서울,40967,23746,23930
2020,6,서울,42018,24260,24446
2020,7,서울,43473,25345,25542
2020,8,서울,44456,23836,24173
2020,9,서울,38540,21345,21541
2020,10,서울,41397,23256,23427
2020,11,서울,38379,22220,22544
2020,12,서울,36351,20756,21529
2020,1,부산,15746,9746,9832
2020,2,부산,12946,7436,7498
2020,3,부산,12863,6778,6846
2020,4,부산,13181,7076,7138
2020,5,부산,14713,8227,8296
2020,6,부산,14992,8513,8604
2020,7,부산,15932,8938,9074
2020,8,부산,16683,8896,8987
2020,9,부산,14716,7999,8073
2020,10,부산,14635,8059,8153
2020,11,부산,13962,7691,7817
2020,12,부산,12783,7173,7462
2020,1,대구,10418,6954,7020
2020,2,대구,8955,5530,5632
2020,3,대구,9589,4965,5087
2020,4,대구,8880,5163,5260
2020,5,대구,9932,5785,5837
2020,6,대구,9948,5903,5952
2020,7,대구,10473,6319,6366
2020,8,대구,11142,6519,6587
2020,9,대구,10135,5954,6017
2020,10,대구,10284,6340,6399
2020,11,대구,9752,6040,6086
2020,12,대구,9871,5951,6056
2020,1,인천,12837,8452,8541
2020,2,인천,11440,7154,7247
2020,3,인천,10593,6641,6744
2020,4,인천,10671,6714,6804
2020,5,인천,12127,7579,7649
2020,6,인천,12637,7917,8051
2020,7,인천,13960,8397,8518
2020,8,인천,14099,8397,8488
2020,9,인천,12435,7324,7430
2020,10,인천,13369,7917,8022
2020,11,인천,12121,7325,7416
2020,12,인천,11296,6875,6982
2020,1,광주,5444,3907,3974
2020,2,광주,4586,3212,3250
2020,3,광주,4483,3082,3110
2020,4,광주,4859,3222,3269
2020,5,광주,5767,3832,3886
2020,6,광주,6061,4021,4081
2020,7,광주,5847,3751,3844
2020,8,광주,6119,3791,3844
2020,9,광주,5437,3542,3610
2020,10,광주,5468,3670,3717
2020,11,광주,5416,3482,3532
2020,12,광주,5179,3330,3429
2020,1,대전,6508,4466,4508
2020,2,대전,5525,3607,3648
2020,3,대전,5391,3172,3202
2020,4,대전,5574,3322,3349
2020,5,대전,6413,3903,3938
2020,6,대전,6414,3824,3867
2020,7,대전,6666,3828,3859
2020,8,대전,6953,3907,3933
2020,9,대전,6273,3582,3605
2020,10,대전,6459,3782,3824
2020,11,대전,5921,3561,3587
2020,12,대전,5829,3313,3349
2020,1,울산,3518,2544,2590
2020,2,울산,3126,2106,2146
2020,3,울산,3218,2050,2086
2020,4,울산,3149,2027,2073
2020,5,울산,3431,2301,2338
2020,6,울산,3721,2509,2564
2020,7,울산,3866,2489,2565
2020,8,울산,3921,2650,2721
2020,9,울산,3651,2351,2394
2020,10,울산,3648,2332,2437
2020,11,울산,3623,2360,2402
2020,12,울산,3330,2194,2293
2020,1,세종,1179,819,836
2020,2,세종,971,646,654
2020,3,세종,1219,813,852
2020,4,세종,1304,704,732
2020,5,세종,1364,748,764
2020,6,세종,1402,770,782
2020,7,세종,1560,801,811
2020,8,세종,1777,853,865
2020,9,세종,1364,732,749
2020,10,세종,1320,752,770
2020,11,세종,1257,694,705
2020,12,세종,1250,657,671
2020,1,경기,54921,34877,35457
2020,2,경기,46820,28038,28474
2020,3,경기,46469,26447,26854
2020,4,경기,47702,27062,27441
2020,5,경기,54176,31540,32036
2020,6,경기,55873,32497,33009
2020,7,경기,58840,34055,34574
2020,8,경기,59917,33207,33647
2020,9,경기,53416,29636,30066
2020,10,경기,55802,31622,32120
2020,11,경기,51865,29367,29832
2020,12,경기,50332,27571,28013
2020,1,강원,8533,5916,6077
2020,2,강원,6858,4657,4750
2020,3,강원,6719,4411,4485
2020,4,강원,7134,4730,4823
2020,5,강원,8326,5572,5702
2020,6,강원,8933,5909,6096
2020,7,강원,9584,6310,6467
2020,8,강원,10406,6496,6672
2020,9,강원,8516,5574,5698
2020,10,강원,8974,5810,5969
2020,11,강원,8039,5283,5415
2020,12,강원,7804,4878,5035
2020,1,충북,7944,4975,5095
2020,2,충북,7049,4183,4280
2020,3,충북,7431,3964,4042
2020,4,충북,7771,4279,4417
2020,5,충북,8627,4932,5049
2020,6,충북,8786,5064,5190
2020,7,충북,9300,5205,5292
2020,8,충북,9769,5285,5427
2020,9,충북,8489,4913,5046
2020,10,충북,8573,4920,5067
2020,11,충북,8248,4639,4755
2020,12,충북,7788,4379,4566
2020,1,충남,12402,7336,7497
2020,2,충남,11018,5993,6125
2020,3,충남,11496,5763,5900
2020,4,충남,12026,5954,6137
2020,5,충남,13584,7135,7347
2020,6,충남,14115,7520,7731
2020,7,충남,14935,7649,7842
2020,8,충남,15913,7771,7982
2020,9,충남,13894,6967,7172
2020,10,충남,14660,7512,7763
2020,11,충남,13457,6641,6818
2020,12,충남,12867,6193,6356
2020,1,전북,10329,6321,6444
2020,2,전북,8624,4952,5048
2020,3,전북,8730,4815,4891
2020,4,전북,9164,5039,5116
2020,5,전북,10210,5896,6016
2020,6,전북,10565,6231,6380
2020,7,전북,11085,6333,6436
2020,8,전북,11896,6725,6860
2020,9,전북,10185,5907,6001
2020,10,전북,10538,6203,6320
2020,11,전북,10328,5736,5856
2020,12,전북,10043,5618,5751
2020,1,전남,11290,6440,6602
2020,2,전남,9662,5468,5587
2020,3,전남,9961,5541,5681
2020,4,전남,10060,5550,5670
2020,5,전남,11327,6482,6643
2020,6,전남,11860,6800,6984
2020,7,전남,11859,6616,6783
2020,8,전남,13826,7281,7473
2020,9,전남,11713,6506,6706
2020,10,전남,12356,6915,7104
2020,11,전남,10915,5988,6121
2020,12,전남,10631,5671,5795
2020,1,경북,13738,8159,8354
2020,2,경북,12040,6479,6649
2020,3,경북,12709,6403,6586
2020,4,경북,12355,6571,6699
2020,5,경북,13975,7738,7895
2020,6,경북,14563,7992,8184
2020,7,경북,15501,8306,8482
2020,8,경북,17405,9224,9431
2020,9,경북,15074,7925,8104
2020,10,경북,15265,8121,8302
2020,11,경북,14058,7298,7477
2020,12,경북,13712,6834,7048
2020,1,경남,10839,6565,6706
2020,2,경남,9497,5510,5612
2020,3,경남,9414,5313,5415
2020,4,경남,10079,5381,5467
2020,5,경남,11602,6287,6417
2020,6,경남,11936,6507,6641
2020,7,경남,12765,6818,6962
2020,8,경남,14188,7411,7589
2020,9,경남,11934,6391,6514
